"ID_MESA","HAB","INHAB","BL","NU","MAS","CC","Creemos","FPV","PAN_BOL","VV"
"100320619730000802",220,"10",5,11,63,91,19,19,12,204
"100320724422100501",220,"7",15,12,65,74,15,20,19,193
"100320723911400710",220,"3",14,5,85,78,10,14,14,201
"100320206042579904",220,"2",13,8,79,70,13,20,17,199
"100320723911401104",220,"6",13,14,64,83,20,13,13,193
"100320308210018903",220,"6",6,6,72,81,17,24,14,208
"100320308210011308",220,"5",16,13,83,72,10,17,9,191
"100320208203004614",220,"2",13,12,57,85,21,16,16,195
"100320825400001306",220,"5",10,14,69,83,13,19,12,196
"100320310762503510",220,"7",10,13,77,78,11,16,15,197
"100320207290010507",220,"3",13,13,78,67,10,16,23,194
"100320517780036706",220,"4",8,10,95,64,11,18,14,202
"100320516890026901",41,"3",1,0,9,21,5,4,1,40
"100320722340400910",220,"4",14,15,54,76,18,18,25,191
"100320735750000101",178,"3",6,8,66,54,15,8,21,164
"100320941052551401",96,"0",2,5,31,33,5,10,10,89
"100320722340801618",220,"5",9,12,79,63,21,23,13,199
"100320208200230512",220,"2",8,11,78,72,18,17,16,201
"100320204210261409",220,"6",10,9,65,86,17,19,14,201
"100320722552541302",220,"1",9,11,77,75,14,20,14,200
"100320722340002612",220,"4",13,11,83,66,11,17,19,196
"100320420590012607",220,"3",6,12,62,91,20,16,13,202
"100320722340401121",220,"2",9,9,70,83,14,21,14,202
"110118540732530307",220,"0",15,8,71,81,16,15,14,197
"100320309550903402",220,"3",13,9,79,71,19,14,15,198
"100320532830000101",159,"24",8,13,54,56,9,9,10,138
"100320308430301108",220,"3",13,13,80,68,12,17,17,194
"100320825260003002",220,"4",13,11,79,67,20,19,11,196
"100320309490902714",201,"7",15,6,68,68,18,9,17,180
"100320127940023021",220,"4",7,5,100,62,19,16,11,208
"100320724782001012",220,"9",7,9,71,80,18,14,21,204
"100320735380000401",220,"1",20,11,72,77,8,16,16,189
"100320722341003325",220,"2",11,8,83,75,17,15,11,201
"100320127940040706",220,"5",8,14,82,77,14,8,17,198
"100320722340900713",220,"1",8,9,76,85,15,18,9,203
"100320309190701201",220,"5",14,8,74,74,13,22,15,198
"100320308840500213",220,"4",8,6,67,91,15,18,15,206
"100320620170000501",110,"7",3,3,47,35,9,7,6,104
"100320208200210501",220,"1",6,8,84,79,13,19,11,206
"100320308212588505",220,"0",14,8,75,83,15,8,17,198
"100320207293003411",220,"2",14,13,60,84,14,21,14,193
"100320113313002102",220,"7",18,11,64,83,14,18,12,191
"100320723480201006",220,"5",5,7,74,80,15,24,15,208
"100320310910150401",220,"1",14,8,66,83,18,16,15,198
"100320722340900928",220,"4",5,4,82,68,24,18,19,211
"100320723171801421",220,"6",14,14,63,78,18,17,16,192
"100320722342565504",220,"2",7,13,64,75,22,19,20,200
"100320516110018207",220,"14",11,9,77,72,15,19,17,200
"100320619770000406",220,"9",12,7,80,79,17,10,15,201
"100320619160000915",220,"8",5,8,85,79,11,15,17,207
"100320725210700407",220,"6",10,13,79,65,18,19,16,197
"100320208200010104",220,"2",16,8,74,72,17,18,15,196
"100320620410000901",220,"9",14,10,88,66,8,17,17,196
"100320208200190605",220,"2",7,9,89,72,14,13,16,204
"100320203230297020",220,"2",9,15,77,67,19,18,15,196
"100320309730100625",220,"6",9,12,74,82,14,16,13,199
"100320722340701406",220,"6",14,5,77,71,14,18,21,201
"100320722600101107",220,"3",12,11,77,79,13,9,19,197
"100320723910406207",220,"4",8,16,80,65,15,22,14,196
"100320208200230505",220,"3",11,10,73,75,18,14,19,199
"100320825262502711",220,"4",15,8,76,82,10,13,16,197
"100320310330122301",220,"3",13,10,69,80,11,19,18,197
"100320724420100408",220,"8",13,6,79,72,19,14,17,201
"100320420590008415",220,"2",16,12,66,86,10,16,14,192
"100320208200130524",220,"3",20,8,64,72,19,14,23,192
"100320420740015901",220,"2",7,11,85,74,17,14,12,202
"100320722340200306",220,"1",8,11,88,65,17,19,12,201
"100320421640000202",126,"5",9,6,37,47,8,12,7,111
"100320420590013803",220,"4",11,13,71,79,15,11,20,196
"100320724371500809",220,"3",13,9,83,66,16,16,17,198
"100320207290280307",220,"3",9,7,79,81,12,18,14,204
"100320208200010114",220,"3",13,13,72,72,19,17,14,194
"100320825263201003",220,"9",10,6,83,66,15,20,20,204
"100320518540046002",38,"3",5,2,11,13,4,0,3,31
"100320420820014801",220,"0",9,7,67,75,20,22,20,204
"100320309712557807",44,"0",3,2,17,14,6,0,2,39
"100320204330270506",220,"3",15,5,80,71,17,13,19,200
"100320518410044407",220,"7",10,12,77,77,17,18,9,198
"100320722341000203",220,"5",13,8,79,74,12,23,11,199
"100320208203004004",220,"4",10,11,71,76,19,17,16,199
"100320236350000101",182,"1",12,7,79,45,13,12,14,163
"100320722541102509",220,"2",10,5,82,66,17,20,20,205
"100320310040103703",220,"0",6,10,72,74,24,15,19,204
"100320207290210504",220,"4",11,9,79,79,12,16,14,200
"100320722342565404",220,"0",7,14,83,62,20,16,18,199
"100320724422104709",220,"2",17,9,76,74,17,13,14,194
"100320420590013812",220,"2",16,12,75,70,15,16,16,192
"100320722341004020",220,"2",10,10,66,71,26,15,22,200
"100320723131801003",220,"7",13,12,77,69,21,17,11,195
"100320308210017704",220,"5",8,9,67,79,24,13,20,203
"100320739820000101",103,"0",4,1,40,39,10,4,5,98
"100320724512102329",220,"5",7,5,91,68,10,18,21,208
"100320739810000101",171,"0",9,8,55,65,10,14,10,154
"100320208200100210",220,"2",6,9,79,74,11,29,12,205
"100320208203005402",220,"0",14,12,60,83,15,16,20,194
"100320309360901514",220,"4",12,14,69,81,16,14,14,194
"100320208200110305",220,"4",15,10,68,69,19,20,19,195
"100320310502503101",220,"0",9,6,76,83,12,17,17,205
"100320205080230710",220,"3",8,9,81,71,15,16,20,203
"100320208200200232",220,"2",9,13,76,73,16,21,12,198
"100320722340600813",220,"4",10,9,65,80,18,17,21,201
"100320208200130307",220,"2",13,9,72,76,19,16,15,198
"100320724763204601",220,"7",9,10,78,78,10,20,15,201
"100320207292503106",220,"1",12,8,74,79,21,12,14,200
"100320208170000105",220,"3",7,13,79,72,17,14,18,200
"100320515513112901",220,"13",10,7,77,72,20,12,22,203
"100320127940011001",220,"1",14,10,70,73,17,22,14,196
"100320309680905306",220,"2",10,17,80,69,17,12,15,193
"100320619770000316",188,"6",4,8,63,66,13,16,18,176
"100320723370200107",220,"5",9,10,82,77,12,8,22,201
"100320434840000102",97,"2",4,3,36,30,7,8,9,90
"100320204930267006",220,"0",13,13,78,70,17,15,14,194
"100320514943110402",220,"3",15,3,79,72,15,23,13,202
"100320310252502803",220,"1",24,13,64,67,12,22,18,183
"100320202420240301",220,"8",10,7,75,76,20,17,15,203
"100320619570000805",127,"3",8,6,38,40,19,10,6,113
"100320626800006703",220,"9",10,9,68,80,16,19,18,201
"100320722340202801",220,"5",19,15,77,59,20,19,11,186
"100320308212587001",220,"0",6,11,70,75,19,18,21,203
"100320825402557405",220,"0",8,14,77,78,11,16,16,198
"100320722340001917",59,"0",2,1,22,22,5,1,6,56
"100320309250800404",118,"7",9,1,40,43,8,9,8,108
"100320207290120108",220,"6",8,9,82,73,13,18,17,203
"100320723341301411",173,"8",5,12,53,59,16,13,15,156
"100320309420902209",220,"0",10,6,79,76,15,21,13,204
"100320127943000202",220,"6",12,15,66,76,17,16,18,193
"100320420940000206",220,"7",9,5,76,80,17,16,17,206
"100320420680015103",117,"3",2,8,41,42,3,10,11,107
"100320208200230515",220,"2",10,10,85,80,9,13,13,200
"100320127940040315",220,"3",13,10,73,77,12,14,21,197
"100320207290290311",220,"1",9,7,76,74,21,15,18,204
"100320309342503206",220,"9",11,9,80,83,18,6,13,200
"100320208200250111",220,"0",11,11,83,67,14,20,14,198
"100320207290070102",220,"3",14,7,70,74,21,16,18,199
"100320309130700608",220,"6",8,11,82,64,16,18,21,201
"100320420603102613",220,"2",13,10,79,73,7,23,15,197
"100320309460902502",220,"2",14,14,69,79,16,14,14,192
"100320308980600702",95,"2",4,8,35,34,2,2,10,83
"100320308210019318",220,"1",8,10,75,88,12,17,10,202
"100320207290200109",220,"2",6,9,72,83,22,15,13,205
"100320207290190115",220,"2",10,17,64,67,21,23,18,193
"100320825260000507",220,"12",12,10,83,74,13,13,15,198
"100320420592562909",220,"2",9,16,77,82,13,9,14,195
"100320722340702316",220,"10",12,7,84,63,19,19,16,201
"100320308210011403",220,"8",11,15,69,78,16,16,15,194
"100320208200170107",220,"6",12,13,66,79,12,19,19,195
"100320722340300703",220,"4",10,3,68,83,21,20,15,207
"100320514940003308",220,"4",14,15,82,67,16,9,17,191
"100320308430301109",220,"4",9,7,77,73,23,17,14,204
"100320722341108504",220,"0",10,10,71,80,14,23,12,200
"100320722340302506",220,"5",16,9,75,75,12,15,18,195
"100320722340400210",220,"4",8,11,70,83,14,15,19,201
"100320208202504123",220,"10",7,15,70,78,22,16,12,198
"100320620110002002",220,"7",12,11,69,81,12,19,16,197
"100320309260800508",220,"4",7,9,80,73,15,14,22,204
"100320724380500901",182,"2",4,7,63,67,21,10,10,171
"100320308210010307",220,"4",11,7,74,73,17,13,25,202
"100320127940040101",220,"5",7,5,70,86,14,24,14,208
"100320208200210229",220,"4",9,12,79,80,17,12,11,199
"100320722570103616",220,"4",10,14,67,73,11,21,24,196
"100320722572540504",220,"1",15,8,68,83,16,16,14,197
"100320724690000202",42,"0",5,2,20,10,2,1,2,35
"100320722542540809",220,"1",10,10,64,69,25,17,25,200
"100320420590010706",220,"2",12,6,85,74,10,18,15,202
"100320336670000101",215,"2",8,11,72,76,18,14,16,196
"100320722541102423",220,"4",13,7,84,68,13,18,17,200
"100320722343202501",220,"5",5,13,78,83,15,10,16,202
"100320309590905417",220,"3",14,8,81,76,19,6,16,198
"100320722340200313",220,"3",12,12,68,75,20,16,17,196
"100320309342504719",220,"3",12,12,65,85,13,13,20,196
"100320310502503104",220,"0",16,11,68,80,16,14,15,193
"100320208200060117",220,"2",9,15,70,79,16,16,15,196
"100320203110253203",23,"2",1,0,9,7,1,2,3,22
"100320309710105110",220,"1",9,8,68,75,20,16,24,203
"100320927730001113",38,"2",1,2,9,11,2,6,7,35
"100320205362574501",220,"2",14,19,79,71,15,9,13,187
"100320207290180106",220,"2",15,12,76,74,14,15,14,193
"100320309730100642",220,"6",9,8,83,72,20,14,14,203
"100320208200110310",220,"5",11,12,71,72,15,21,18,197
"100320207290190508",220,"3",9,10,73,85,13,15,15,201
"100320310580123603",220,"3",13,7,78,74,15,19,14,200
"110916338062513101",125,"4",5,8,48,41,8,7,8,112
"100320202530247810",220,"1",12,6,88,57,23,19,15,202
"100320722340502903",220,"10",10,11,73,81,16,17,12,199
"100320731810406602",67,"2",3,4,22,25,4,5,4,60
"100320309342503914",220,"6",16,10,82,77,13,9,13,194
"100320727970405103",220,"4",13,13,75,82,11,16,10,194
"100320626800000101",220,"0",11,9,72,69,21,20,18,200
"100320927732503207",220,"4",9,3,78,77,12,19,22,208
"100320722340100022",220,"3",6,12,77,72,24,15,14,202
"100320420590012404",220,"7",8,11,78,80,17,14,12,201
"100320309760101211",220,"1",9,17,82,58,20,12,22,194
"100320227672560610",202,"0",10,9,75,56,17,14,21,183
"100320722340601608",220,"8",17,7,76,79,16,13,12,196
"100320723311301002",220,"1",11,12,70,78,12,17,20,197
"100320911810006901",220,"16",13,8,65,81,17,17,19,199
"100320207060257101",68,"1",6,1,27,22,3,7,2,61
"100320207290250433",220,"1",9,12,72,86,16,11,14,199
"100320722342547009",220,"0",13,13,79,64,17,16,18,194
"100320723911400716",138,"2",8,8,49,38,11,13,11,122
"100320619530000406",220,"16",7,17,69,83,14,15,15,196
"100320131910005104",171,"1",17,8,52,61,11,10,12,146
"100320308210022524",220,"4",13,10,85,66,10,17,19,197
"100320722341107808",189,"0",9,11,78,59,12,10,10,169
"100320420593100501",220,"3",11,10,61,75,17,21,25,199
"100320308220200301",220,"7",7,10,69,90,15,12,17,203
"100320308212588501",220,"0",11,14,79,71,19,12,14,195
"100320202530247805",220,"1",10,6,80,83,12,12,17,204
"100320308210018210",220,"2",11,17,75,73,16,15,13,192
"100320626800006709",220,"4",10,12,82,69,14,12,21,198
"100320722341003102",220,"6",9,14,72,83,13,21,8,197
"100320723340301402",220,"4",4,7,87,76,12,17,17,209
"100320207290210901",220,"6",14,10,79,69,12,22,14,196
"100320516713113803",220,"13",10,10,79,80,10,17,14,200
"100320619490001609",189,"11",9,17,65,64,10,15,9,163
"100320514940003507",220,"5",8,7,80,71,21,19,14,205
"100320207292504702",220,"1",9,10,77,68,18,16,22,201
"100320207290080108",220,"7",9,10,75,70,18,13,25,201
"100320208200240402",220,"1",13,14,77,75,9,20,12,193
"100320206200269006",220,"5",9,8,80,74,15,15,19,203
"100320514943111801",220,"7",9,11,90,71,12,11,16,200
"100320835180000103",50,"1",3,2,20,15,2,2,6,45
"100320309610904102",220,"3",10,9,82,69,15,18,17,201
"100320722340702326",220,"9",11,4,79,82,8,18,18,205
"100320724950580005",220,"8",12,11,86,58,21,15,17,197
"100320529070050501",220,"5",16,5,78,76,14,16,15,199
"100320308210012106",220,"3",14,6,74,75,20,12,19,200
"100320722342541806",220,"3",16,9,75,66,20,20,14,195
"100320309342504301",220,"2",7,12,60,85,22,17,17,201
"100320722340900905",220,"7",12,8,77,77,13,19,14,200
"100320626800007213",220,"5",11,4,82,74,14,12,23,205
"100320309342505110",73,"0",4,7,25,19,5,8,5,62
"100320827840001301",220,"10",10,12,84,70,12,12,20,198
"100320207292572903",220,"0",13,10,83,70,17,13,14,197
"100320308213007210",220,"1",10,11,77,71,20,16,15,199
"100320308210020719",220,"4",7,8,80,82,16,12,15,205
"100320207290300715",220,"3",7,5,75,85,14,15,19,208
"100320722340800634",220,"8",7,14,66,81,24,13,15,199
"100320740322536303",220,"0",13,10,76,71,14,20,16,197
"100320308210016202",220,"4",9,14,71,75,11,18,22,197
"100320309643008401",220,"1",12,13,83,72,12,16,12,195
"100320619830000803",220,"5",9,10,74,71,20,16,20,201
"100320208200250215",220,"0",11,9,81,73,13,18,15,200
"100320722341001210",220,"5",15,16,71,71,14,16,17,189
"100320722342544103",198,"0",9,10,68,76,9,13,13,179
"100320722343202804",220,"6",12,15,65,76,16,14,22,193
"100320127940021705",220,"4",9,13,85,65,13,14,21,198
"100320127940021005",220,"3",9,12,69,85,17,13,15,199
"100320722340400016",220,"3",11,12,80,76,13,14,14,197
"100320113310000206",220,"2",10,15,80,62,18,21,14,195
"100320309740104901",220,"6",13,10,79,71,17,19,11,197
"100320208200240226",220,"2",10,13,84,69,5,22,17,197
"100320127940051618",220,"1",14,11,71,70,20,18,16,195
"100320722340702016",220,"7",7,12,78,82,14,13,14,201
"100320127940040308",220,"5",13,13,72,74,22,13,13,194
"100320723341301407",220,"7",13,15,77,68,20,17,10,192
"100320722341107004",220,"1",14,11,86,55,17,15,22,195
"100320421580000201",230,"1",10,10,86,84,12,9,19,210
"100320308210017605",220,"3",3,20,80,73,14,19,11,197
"100320308210015613",220,"13",13,9,76,81,15,14,12,198
"100320127940053304",220,"0",5,10,77,79,20,16,13,205
"100320206120000204",220,"1",15,8,79,72,17,14,15,197
"100320825260003204",220,"2",10,10,61,94,13,13,19,200
"100320127940021217",220,"9",15,13,70,73,11,16,22,192
"100320723522201403",62,"1",4,4,15,19,8,4,8,54
"100320202970249401",220,"4",10,6,98,63,23,11,9,204
"100320626800009910",220,"11",9,7,77,75,16,21,15,204
"100320208200120720",220,"0",10,8,74,70,18,21,19,202
"100320514940000702",220,"9",10,11,85,77,15,13,9,199
"100320208200060331",220,"2",14,5,72,81,17,13,18,201
"100320128450000102",101,"2",3,5,32,34,14,7,6,93
"100320722342541601",220,"1",11,9,69,82,16,13,20,200
"100320204590264315",220,"6",13,6,82,70,15,15,19,201
"100320207290270119",220,"4",8,10,86,69,20,11,16,202
"100320206980255506",220,"8",8,14,62,82,17,24,13,198
"100320722341003337",126,"5",6,6,36,51,4,13,10,114
"100320208200120311",220,"1",14,9,69,85,16,13,14,197
"100320202830249907",62,"1",4,2,22,19,6,7,2,56
"100320421130000201",22,"0",3,0,7,7,2,1,2,19
"100320420590009417",220,"4",16,13,64,81,19,15,12,191
"100320518413113303",220,"8",6,9,79,74,19,16,17,205
"100320205510281311",220,"2",12,7,72,81,13,14,21,201
"100320127940012320",220,"7",13,10,86,62,16,15,18,197
"110443837822510734",220,"9",12,8,70,72,24,11,23,200
"100320514940001201",220,"3",13,9,74,71,15,16,22,198
"100320420870000202",220,"7",12,7,79,72,20,10,20,201
"100320736980000306",220,"0",13,7,79,65,15,20,21,200
"100320420590011114",45,"1",0,3,16,18,3,2,3,42
"100320933170000201",81,"2",3,5,27,28,8,4,6,73
"100320517750036302",93,"4",5,3,38,26,6,7,8,85
"100320722340700306",220,"1",12,7,81,80,10,14,16,201
"100320619280000604",83,"0",9,5,23,29,2,8,7,69
"100320722340702726",220,"5",18,7,78,70,15,12,20,195
"110111041402518803",220,"27",7,6,84,74,25,12,12,207
"100320421080000209",220,"16",6,14,83,64,19,17,17,200
"100320203222559101",220,"4",12,15,84,68,16,12,13,193
"100320207240255907",220,"9",8,9,76,70,18,19,20,203
"100320231140000103",220,"1",7,10,70,86,14,23,10,203
"100320420592504501",220,"0",7,14,71,82,10,19,17,199
"100320927732504013",220,"0",11,11,77,76,13,17,15,198
"100320309610904107",220,"5",11,8,60,83,15,21,22,201
"100320207290300116",220,"0",11,10,71,86,14,14,14,199
"100320517960039101",166,"4",6,13,56,62,16,6,7,147
"100320309710105115",220,"0",12,9,74,73,16,21,15,199
"100320420590013310",220,"2",5,10,72,87,15,13,18,205
"100320420590007901",220,"1",17,13,72,69,15,20,14,190
"100320516480022202",220,"22",13,8,69,84,16,15,15,199
"100320722340200906",220,"6",12,19,81,64,12,14,18,189
"100320207292548015",220,"1",8,15,75,78,16,14,14,197
"110672937722509717",220,"21",9,14,81,63,24,10,19,197
"100320722340801526",220,"11",13,9,79,84,14,12,9,198
"100320309632503411",220,"1",13,12,72,73,19,15,16,195
"100320127940040010",220,"1",14,14,67,81,20,11,13,192
"100320514942503702",220,"0",13,7,81,84,12,16,7,200
"100320722340202904",220,"12",6,11,67,79,18,17,22,203
"100320208200140310",220,"3",5,11,81,76,18,14,15,204
"100320515410010901",220,"7",7,12,85,65,10,21,20,201
"100320722340401907",220,"5",19,9,64,74,12,24,18,192
"100320207290140314",220,"3",11,20,63,81,14,17,14,189
"100320825850000101",21,"0",0,1,9,7,1,1,2,20
"100320309860102123",220,"3",6,6,75,94,13,13,13,208
"100320309860102105",220,"4",11,6,74,86,10,17,16,203
"100320203230297601",220,"3",12,4,80,83,11,15,15,204
"110111041302517727",220,"7",15,14,86,58,16,15,16,191
"100320207290120201",220,"3",13,8,81,77,17,15,9,199
"100320722340900608",220,"6",15,5,85,67,17,22,9,200
"100320723280300501",220,"9",15,10,80,65,11,24,15,195
"100320206982533902",220,"0",9,15,73,69,16,17,21,196
"100320207290030303",220,"6",12,12,68,80,16,14,18,196
"100320207290210103",220,"3",14,4,71,68,18,22,23,202
"100320127940050703",220,"11",10,12,72,80,16,18,12,198
"100320626800008012",81,"3",3,2,38,25,2,4,7,76
"100320825403201509",179,"12",7,6,59,68,14,8,17,166
"100320308210012609",220,"4",15,7,74,70,13,14,27,198
"100320723550400004",220,"9",11,13,78,80,11,12,15,196
"100320619160001006",220,"10",15,11,77,72,8,23,14,194
"100320723341301208",220,"8",13,10,80,68,22,12,15,197
"100320308210012006",220,"4",13,15,69,82,9,18,14,192
"100320725130600703",220,"15",11,20,60,80,15,18,16,189
"100320309990103216",220,"1",18,10,74,76,12,18,12,192
"100320722341002901",220,"3",9,16,69,76,19,20,11,195
"100320421320000204",162,"4",14,6,52,47,13,18,12,142
"100320722340401027",220,"6",9,14,71,89,14,8,15,197
"100320723340301302",220,"7",12,13,66,84,16,15,14,195
"100320722430000211",220,"4",9,15,67,77,16,22,14,196
"100320207292503711",220,"2",13,12,67,81,13,16,18,195
"100320200930245110",220,"6",11,9,73,78,17,7,25,200
"100320308210012512",220,"3",10,9,79,74,19,16,13,201
"100320530310051402",226,"16",14,9,75,76,14,16,22,203
"100320420593101906",220,"4",15,11,74,70,19,20,11,194
"100320207290190601",220,"8",11,8,72,76,18,18,17,201
"100320722542540801",220,"2",8,13,69,81,17,18,14,199
"100320127940022712",220,"4",12,5,77,72,15,17,22,203
"100320514940001002",220,"8",6,9,84,71,11,23,16,205
"100320207290130310",220,"7",14,7,74,76,18,17,14,199
"100320722340800616",220,"5",8,8,82,68,24,18,12,204
"100320308650400108",220,"6",7,13,86,72,17,13,12,200
"100320618960000801",220,"20",16,11,72,71,18,15,17,193
"100320722340500801",220,"7",5,8,81,86,18,13,9,207
"100320722342565501",220,"5",8,10,79,78,16,10,19,202
"100320722340701401",220,"3",8,8,68,83,21,13,19,204
"100320208200210313",220,"2",4,8,86,70,17,18,17,208
"100320308210015101",220,"3",8,4,77,75,17,23,16,208
"100320310080104103",220,"1",15,9,84,68,21,16,7,196
"100320308210019411",220,"4",8,14,85,61,19,18,15,198
"100320308210018311",220,"2",17,14,65,69,26,9,20,189
"100320722720502201",220,"2",11,11,76,69,13,26,14,198
"100320631620000306",220,"3",9,9,88,59,13,15,27,202
"110111036112516202",220,"68",7,6,86,72,14,18,17,207
"110111141432514804",220,"21",16,9,74,78,10,15,18,195
"100320722571102215",220,"5",8,12,83,61,25,16,15,200
"100320437510000101",113,"0",2,7,43,33,11,9,8,104
"100320722501102519",211,"13",7,12,70,72,16,19,15,192
"100320723910401208",220,"3",9,11,72,84,16,11,17,200
"100320208203005213",220,"5",13,11,74,77,14,21,10,196
"100320619160001406",220,"12",11,13,65,79,16,17,19,196
"110672737702618607",220,"14",9,11,74,77,14,20,15,200
"100320514940003602",220,"7",8,7,72,79,23,16,15,205
"100320227910225605",220,"2",8,14,88,73,13,16,8,198
"100320515300009407",192,"4",12,13,59,65,11,14,18,167
"110111141442514906",220,"20",7,11,79,79,17,15,12,202
"100320514940004506",220,"1",11,9,69,77,15,19,20,200
"100320308210016204",220,"10",17,14,56,76,17,20,20,189
"100320207290130404",220,"2",9,8,79,78,12,19,15,203
"100320420593101008",220,"1",13,13,82,66,13,15,18,194
"100320826440000302",220,"4",13,5,73,70,13,26,20,202
"100320308210018740",220,"1",12,7,61,97,19,14,10,201
"100320735380000104",220,"2",12,12,81,61,23,13,18,196
"100320722343203101",220,"0",12,8,58,88,18,15,21,200
"100320208200120619",117,"4",6,8,33,48,8,8,6,103
"100320722340302813",220,"7",7,15,67,74,20,21,16,198
"100320722340401416",220,"7",14,12,74,68,18,15,19,194
"100320420600000402",220,"0",8,9,86,68,13,19,17,203
"100320722340202120",220,"5",9,14,89,55,17,16,20,197
"100320722340701213",220,"3",12,15,66,81,15,23,8,193
"100320309592569901",220,"0",15,13,75,72,12,15,18,192
"100320420590009802",220,"7",14,14,66,70,23,18,15,192
"100320420590014507",220,"2",8,10,65,72,26,20,19,202
"100320825650000103",220,"7",8,9,76,74,21,20,12,203
"100320722340700728",220,"5",8,13,64,77,24,20,14,199
"100320127940021910",220,"5",14,11,71,74,24,11,15,195
"100320421830000204",220,"3",11,20,63,80,12,15,19,189
"100320735380000216",220,"4",16,8,61,82,24,17,12,196
"100320207290240524",220,"3",8,10,83,84,11,10,14,202
"100320825400001107",220,"6",10,8,82,65,19,16,20,202
"100320722340200304",220,"10",11,11,73,76,9,20,20,198
"100320207290300716",103,"2",5,4,38,43,7,3,3,94
"100320227670291215",220,"2",11,13,85,73,16,9,13,196
"100320207292504506",220,"2",13,8,88,73,16,14,8,199
"100320626800008907",220,"6",11,10,73,70,23,23,10,199
"100320826580000102",220,"4",10,12,83,65,15,15,20,198
"100320208200140111",220,"3",11,8,81,74,10,19,17,201
"100320725140600801",220,"28",13,15,74,70,16,17,15,192
"100320722860400104",220,"5",13,12,70,77,14,14,20,195
"100320735382546402",220,"0",10,9,87,79,10,17,8,201
"100320626803105706",220,"1",10,11,86,66,17,11,19,199
"100320722342542510",95,"0",5,4,33,33,7,8,5,86
"100320514940002111",220,"8",12,16,90,70,9,11,12,192
"100320127940021203",220,"11",14,9,91,65,11,14,16,197
"100320514942504803",220,"1",9,12,75,73,10,22,19,199
"100320309260800502",220,"5",13,7,87,67,17,12,17,200
"100320526710032101",59,"2",3,1,24,17,3,3,8,55
"100320722340702408",220,"6",5,10,79,71,18,20,17,205
"100320722340000930",220,"9",3,11,79,88,13,12,14,206
"100320911150001504",98,"3",2,3,27,43,8,7,8,93
"100320113070000101",229,"8",12,6,69,89,13,19,21,211
"110621336142530007",70,"368",3,5,25,19,3,7,8,62
"100320208200120211",220,"5",9,5,70,91,19,11,15,206
