"ID_MESA","HAB","INHAB","VV","BL","NU","MAS","CC","Creemos","FPV","PAN_BOL"
"100320207292505006",220,"2",198,6,11,63,75,10,17,16
"100320207290250104",220,"1",198,13,14,62,62,22,14,11
"100320206412558901",122,"1",110,2,3,35,42,7,10,11
"100320204330270503",220,"2",198,9,9,65,64,21,19,11
"100320207290050516",220,"9",198,12,6,67,65,14,20,14
"100320722340801727",220,"8",198,13,12,68,62,13,11,19
"100320724901200007",220,"11",198,7,7,63,62,16,24,19
"100320207290160410",220,"1",198,7,16,66,63,15,18,13
"100320207290060301",220,"7",198,13,5,58,71,15,20,16
"100320208200010136",220,"4",198,10,11,64,67,10,18,18
"100320626802571117",220,"6",198,11,12,63,72,14,12,14
"100320722551104406",220,"1",198,9,12,65,67,15,15,15
"100320204720265401",220,"0",198,5,14,54,71,16,17,21
"100320420593102404",220,"6",198,5,10,66,63,18,24,12
"100320308210018319",220,"8",198,6,6,63,78,16,8,21
"100320207290140208",220,"2",198,12,10,71,58,18,20,9
"100320722343203902",220,"6",198,5,11,68,68,15,16,15
"100320722860400013",220,"6",198,9,12,67,76,12,12,10
"100320724422105121",220,"6",198,9,10,69,69,16,8,17
"100320308210015116",220,"9",198,8,13,70,64,20,13,10
"100320208200240145",220,"1",198,12,10,62,64,14,15,21
"100320207290180106",220,"2",198,14,11,69,66,12,14,12
"100320516710024615",220,"4",198,11,9,61,69,10,19,19
"100320309802558101",220,"0",198,5,8,75,71,18,13,8
"100320722341107108",220,"0",198,15,10,64,75,7,15,12
"100320431320016301",220,"1",198,12,7,67,68,13,14,17
"100320722340401505",220,"10",198,9,4,72,66,20,12,15
"100320309342503205",220,"6",198,13,11,61,71,16,11,15
"100320208200100318",220,"1",198,7,8,68,64,20,17,14
"100320207290210804",220,"1",198,7,10,79,65,13,13,11
"100320204850066301",214,"0",193,11,13,69,55,21,11,13
"100320515303114504",229,"4",206,7,8,79,68,19,12,13
"100320203230297717",220,"3",198,10,5,84,58,13,16,12
"100320724430101615",220,"9",198,13,13,57,70,11,19,15
"100320308210017224",55,"5",50,2,3,17,16,4,1,7
"100320626800007702",220,"1",198,4,7,72,65,17,23,10
"100320309230800206",220,"11",198,9,14,67,72,11,16,9
"100320722460100405",220,"13",198,10,9,73,69,15,12,10
"100320722860400021",220,"6",198,5,7,71,65,17,22,11
"100320207290080234",72,"3",65,2,1,24,25,6,4,3
"100320207290120107",220,"6",198,10,9,66,74,9,12,18
"100320309342503923",220,"2",198,9,6,81,55,14,14,19
"110443837812510625",220,"8",198,10,8,59,70,20,12,19
"100320722340501809",220,"2",198,9,18,61,68,15,13,14
"100320207290220608",220,"5",198,6,9,74,63,15,17,14
"100320201020244201",220,"1",198,11,7,71,67,15,13,14
"100320421990000201",220,"3",198,13,8,64,65,13,13,22
"100320723570400213",220,"7",198,6,11,74,65,15,15,12
"100320208200060111",220,"4",198,10,10,71,69,15,15,8
"100320420843102710",220,"3",198,8,11,72,62,11,17,17
"100320127942552615",220,"11",198,14,8,62,61,13,21,19
"100320308212588904",220,"0",198,7,6,66,68,12,19,20
"100320825263201408",220,"5",198,6,9,78,69,7,17,12
"100320827840001602",220,"2",198,8,13,65,64,18,18,12
"100320735380000306",220,"0",198,12,10,66,59,20,15,16
"100320421270000204",220,"2",198,17,14,72,57,10,19,9
"100320722342543002",220,"0",198,10,14,67,64,12,18,13
"100320234152576401",220,"4",198,12,11,57,71,14,16,17
"100320207290260112",220,"0",198,10,6,73,64,18,13,14
"100320825260002010",220,"1",198,8,8,74,71,13,10,14
"100320308210017405",220,"5",198,13,13,63,74,11,11,13
"100320333620906305",220,"1",198,6,11,74,64,14,15,14
"100320535050000101",221,"8",199,10,7,66,82,10,12,12
"100320207293003503",220,"4",198,15,10,55,77,9,20,12
"100320309710105601",220,"0",198,10,12,54,78,11,21,12
"110111041302506002",220,"25",198,13,7,69,63,21,10,15
"100320309342503204",220,"8",198,16,15,69,54,18,14,12
"100320227430000222",220,"1",198,5,12,78,61,17,12,13
"100320724862001806",220,"5",198,8,7,73,61,20,19,10
"100320204540264101",220,"3",198,11,10,73,64,11,16,13
"100320722340800105",220,"5",198,10,7,75,67,17,12,10
"100320203222559102",155,"2",140,3,4,44,54,13,9,13
"100320208200240415",220,"2",198,10,8,78,60,13,16,13
"100320309400901921",220,"4",198,5,5,70,68,13,16,21
"100320722340702510",220,"9",198,9,13,66,67,13,11,19
"100320208200170215",220,"3",198,11,6,81,58,12,16,14
"100320208200190631",220,"1",198,10,7,69,61,22,13,16
"100320620140000301",211,"3",190,13,7,62,69,14,6,19
"100320309510903002",220,"3",198,4,11,62,82,20,6,13
"100320208200030126",220,"0",198,10,8,65,71,12,13,19
"100320722340201914",220,"8",198,17,7,69,58,14,15,18
"110112137622515402",220,"8",198,10,8,68,60,15,16,21
"100320725061901101",220,"2",198,9,14,52,75,16,14,18
"100320127940011007",220,"4",198,6,10,67,66,11,17,21
"100320208203004914",220,"2",198,7,6,70,68,20,14,13
"100320626802571215",220,"3",198,9,13,64,58,18,19,17
"100320722340500008",220,"13",198,11,11,69,54,22,14,17
"100320207290080125",220,"2",198,6,11,71,73,11,11,15
"100320127940022725",220,"8",198,9,7,70,69,17,12,14
"100320927732607804",25,"0",22,2,0,8,7,1,3,1
"100320722340401114",220,"8",198,12,13,75,63,13,12,10
"100320308212586806",176,"0",158,4,5,51,60,15,11,12
"100320207290060734",220,"5",198,11,9,63,66,15,21,13
"100320619770000215",220,"9",198,7,9,74,69,13,7,19
"100320420590010708",220,"7",198,5,6,70,71,18,15,13
"100320341952564201",220,"0",198,15,10,67,64,20,9,13
"110111041352518505",220,"30",198,4,13,76,63,12,12,18
"100320309360901528",220,"7",198,13,6,81,53,13,16,16
"100320308210019111",220,"3",198,10,6,59,79,13,20,11
"100320722340301112",220,"3",198,9,8,67,63,18,13,20
"100320722342566213",220,"5",198,8,10,66,76,11,16,11
"100320723171801414",220,"2",198,15,9,79,57,12,11,15
"100320722340401506",220,"12",198,7,8,69,69,19,16,10
"100320515663116001",220,"0",198,7,4,60,74,16,25,12
"100320517780057406",220,"6",198,10,6,68,66,16,15,17
"100320310502503101",220,"0",198,8,5,69,74,11,16,15
"100320308212587601",154,"0",139,5,9,48,45,14,8,10
"100320618690000101",178,"10",160,11,7,51,53,13,10,15
"100320207290060811",220,"2",198,9,14,58,74,18,15,10
"100320735880000101",87,"2",78,4,3,29,23,8,3,8
"100320724911200101",220,"17",198,9,10,83,55,15,16,10
"100320420843102801",220,"6",198,13,6,60,74,15,15,15
"100320329470140814",75,"2",68,2,5,22,22,6,3,8
"100320724371500809",220,"3",198,12,8,80,54,13,14,17
"100320515550012302",220,"20",198,7,13,62,74,12,12,18
"100320722430000110",220,"2",198,8,9,64,75,17,13,12
"100320310502503034",220,"4",198,12,8,71,63,13,19,12
"100320308210015202",220,"5",198,10,8,65,74,12,13,16
"100320113310000207",220,"4",198,8,10,75,65,15,14,11
"100320724422104901",220,"0",198,7,8,62,82,13,8,18
"100320735410000101",220,"0",198,6,9,72,57,21,15,18
"100320208200110114",220,"0",198,7,8,63,71,11,16,22
"100320516713113904",220,"3",198,8,8,65,70,13,18,16
"100320724690000202",42,"0",38,4,2,18,9,2,1,2
"100320309750101009",220,"2",198,15,11,60,64,19,12,17
"100320420590012307",82,"1",74,5,3,23,28,2,4,9
"110111243772608902",54,"0",49,1,2,23,11,2,5,5
"100320420592502712",220,"3",198,6,12,57,72,15,18,18
"100320723910400612",220,"3",198,5,8,83,59,15,8,20
"100320207290280522",220,"2",198,9,9,76,74,9,11,10
"100320728561104003",220,"4",198,5,7,84,69,9,12,12
"100320207290100720",220,"7",198,11,9,78,60,18,14,8
"100320619670000314",220,"0",198,11,9,48,77,20,19,14
"100320420593102401",220,"3",198,9,12,66,64,17,15,15
"100320723211801905",220,"3",198,9,12,64,65,14,13,21
"100320207290160506",220,"5",198,17,6,64,66,11,16,18
"100320722340001012",220,"5",198,10,7,73,68,10,15,15
"100320127940040904",220,"8",198,12,10,61,76,14,12,13
"100320114173000804",220,"4",198,12,9,72,68,9,15,13
"110119243842609601",220,"0",198,10,8,64,71,13,14,18
"100320722351102713",220,"4",198,10,7,67,67,13,18,16
"100320722340300711",220,"7",198,10,13,74,66,15,9,11
"100320722342547004",220,"2",198,5,9,77,66,14,17,10
"100320723300300802",220,"1",198,10,13,73,62,12,19,9
"100320207210255004",220,"6",198,11,10,59,84,13,8,13
"100320309710104616",220,"8",198,8,3,69,78,12,16,12
"100320309590905329",220,"2",198,12,13,69,72,9,13,10
"100320208200140211",171,"0",154,6,7,55,44,10,15,17
"100320726980550906",220,"11",198,10,7,70,60,19,17,15
"100320722340301406",220,"7",198,9,11,63,62,21,17,15
"100320308210017109",220,"0",198,12,6,67,67,19,16,11
"100320140092532401",118,"2",106,3,8,38,39,4,9,5
"100320207290280308",220,"2",198,5,8,57,83,14,18,13
"100320308410300402",42,"2",38,4,3,9,11,6,0,5
"100320722340900411",220,"8",198,9,7,68,74,13,17,10
"100320308210011415",220,"8",198,9,5,81,65,16,10,12
"100320208200180115",220,"3",198,4,5,71,66,12,15,25
"100320722860400003",220,"3",198,8,10,72,63,14,14,17
"100320207290070215",45,"0",40,1,2,10,18,3,4,2
"100320620340000209",220,"7",198,6,5,79,69,11,15,13
"100320517180030101",220,"1",198,9,6,60,77,9,13,24
"100320202610247601",199,"4",179,7,6,67,69,6,14,10
"100320113360000104",220,"4",198,6,13,68,70,16,16,9
"100320722340201205",220,"3",198,8,9,72,66,19,10,14
"100320724422100805",220,"8",198,13,10,66,65,15,20,9
"100320619770000303",220,"3",198,6,13,67,75,12,11,14
"100320530840052201",144,"7",130,10,2,49,48,11,5,5
"100320208202504504",220,"1",198,9,13,71,70,13,7,15
"100320308210016119",220,"3",198,8,9,72,67,16,15,11
"100320420592505104",145,"0",130,8,7,46,46,6,13,4
"100320227670291232",220,"2",198,13,14,79,55,16,7,14
"100320722342565903",220,"0",198,12,13,69,48,22,13,21
"100320208202559902",220,"0",198,8,11,71,59,22,11,16
"100320309770101237",220,"11",198,7,4,67,72,16,14,18
"100320517740036202",220,"4",198,8,8,61,72,21,13,15
"100320308210020216",220,"7",198,10,15,60,64,12,20,17
"100320514943111104",220,"2",198,9,16,60,62,20,13,18
"100320724450101717",220,"4",198,14,7,79,64,10,12,12
"100320128960000101",220,"10",198,5,13,68,65,19,15,13
"100320127940051009",220,"2",198,12,4,68,71,16,17,10
"100320726971802301",220,"5",198,5,7,69,68,16,18,15
"100320203650299101",220,"2",198,4,10,68,66,17,15,18
"100320208200170504",220,"2",198,11,8,66,65,21,16,11
"100320310540123217",220,"0",198,13,6,60,67,10,22,20
"100320724432101505",220,"7",198,18,7,75,58,11,14,15
"100320722340802321",220,"7",198,8,12,61,65,16,17,19
"100320208200260147",220,"2",198,5,4,65,63,24,19,18
"100320202770250804",220,"4",198,8,5,77,64,10,18,16
"100320722340801805",220,"5",198,15,7,68,59,13,15,21
"100320309342503708",220,"6",198,9,8,71,74,10,8,18
"100320207290280110",220,"0",198,6,10,62,77,14,19,10
"100320420662561804",220,"3",198,13,11,65,63,16,9,21
"100320722652500022",220,"2",198,15,8,57,61,18,16,23
"100320620340000205",220,"5",198,15,10,54,64,19,21,15
"100320308952535902",48,"0",43,3,5,12,13,2,7,1
"100320113710000107",220,"1",198,7,12,49,79,20,14,17
"100320208203005509",220,"0",198,10,9,62,67,15,17,18
"100320208200040118",220,"3",198,14,5,71,65,13,14,16
"100320308210015006",220,"4",198,6,8,70,59,17,18,20
"100320927730000304",179,"3",161,10,11,66,50,6,7,11
"100320626803105807",183,"1",165,6,5,69,53,5,15,12
"100320234152576402",29,"0",26,0,0,9,9,2,3,3
"100320722340800209",220,"8",198,10,10,74,61,14,15,14
"100320127940021721",220,"5",198,14,9,72,63,14,10,16
"100320722340501608",220,"5",198,8,15,75,54,14,11,21
"100320722340800407",220,"13",198,9,6,69,65,20,12,17
"100320208200240317",220,"1",198,10,7,72,70,13,8,18
"100320204600264505",20,"0",18,1,2,6,7,1,0,1
"100320308210020515",220,"1",198,10,12,75,53,21,11,16
"100320207290130104",220,"2",198,8,13,75,59,20,7,16
"100320208200050302",220,"2",198,12,7,60,70,20,17,12
"100320309230800202",220,"9",198,11,6,71,67,11,14,18
"100320722340501711",125,"6",112,4,6,40,39,7,8,8
"100320722341106302",220,"1",198,8,14,63,57,16,20,20
"100320308210010922",220,"6",198,7,10,65,82,13,12,9
"100320127940051003",220,"2",198,4,5,66,77,14,17,15
"100320308210022605",220,"0",198,12,6,74,76,12,9,9
"100320207290090315",220,"3",198,8,13,65,74,15,12,11
"100320514940001705",220,"6",198,11,5,77,64,16,11,14
"110341836192612310",220,"3",198,6,5,79,72,13,11,12
"100320619530000409",220,"17",198,7,7,65,75,13,17,14
"100320420870000204",220,"3",198,5,11,73,56,15,17,21
"110671536162507219",220,"37",198,5,11,62,79,18,13,10
"100320308210023003",220,"0",198,9,8,57,78,10,23,13
"100320722340900311",220,"2",198,5,13,64,69,18,12,17
"100320515400010802",164,"2",148,7,6,55,46,8,13,13
"100320308210010110",220,"2",198,12,9,60,74,17,15,11
"100320206520230208",220,"3",198,11,13,65,65,18,13,13
"100320723171801420",220,"4",198,6,12,59,85,11,13,12
"100320722340501318",220,"5",198,11,13,64,57,18,18,17
"100320515170007501",220,"4",198,10,12,67,69,12,14,14
"100320911270002401",181,"12",163,10,6,53,60,12,12,10
"100320208200120509",220,"3",198,10,7,73,72,13,12,11
"100320722341107902",220,"0",198,10,11,66,74,13,11,13
"100320731920601706",220,"2",198,12,8,67,56,14,18,23
"100320722341001508",220,"4",198,13,8,68,59,20,14,16
"100320722340700009",220,"5",198,8,7,61,74,16,20,12
"100320308210010624",220,"10",198,8,11,64,70,10,12,23
"100320208200190822",220,"4",198,8,4,66,78,11,19,12
"100320208202559907",220,"0",198,6,6,69,67,17,21,12
"100320735960000102",202,"3",182,5,3,67,58,21,16,12
"100320205752578406",220,"1",198,4,12,73,62,15,16,16
"100320309590905337",220,"3",198,10,12,72,71,11,9,13
"100320728660405501",220,"3",198,10,10,63,67,11,20,17
"100320204910270702",220,"6",198,14,14,68,57,12,14,19
"110111036112518905",220,"47",198,6,11,72,66,9,15,19
"100320827840001701",220,"0",198,7,9,64,74,14,10,20
"100320722340700205",220,"3",198,13,5,59,75,14,22,10
"100320308210022402",220,"0",198,9,17,74,57,13,15,13
"100320517510034001",220,"5",198,13,6,66,73,11,12,17
"100320626800008616",220,"1",198,13,9,77,50,20,13,16
"100320127940051206",220,"2",198,9,8,70,68,17,14,12
"100320203230297617",220,"7",198,6,11,77,56,17,16,15
"100320308210016608",220,"4",198,9,10,80,63,12,8,16
"100320205540281610",49,"1",44,4,3,11,16,2,6,2
"100320619310000905",220,"6",198,12,11,65,77,16,8,9
"100320207290020519",220,"4",198,8,6,75,68,11,12,18
"100320308210013101",220,"3",198,12,9,65,76,10,12,14
"100320722340301201",220,"5",198,11,9,67,65,12,16,18
"100320207290302401",52,"7",47,2,3,8,19,5,7,3
"100320308750401207",220,"14",198,6,6,59,74,16,21,16
"100320517680035704",220,"2",198,9,7,64,65,21,13,19
"100320309590905407",220,"4",198,13,14,58,70,18,19,6
"100320722340500806",220,"5",198,10,7,71,60,17,16,17
"100320722340400914",220,"8",198,6,13,63,62,25,16,13
"100320722341107802",220,"0",198,11,9,75,59,13,16,15
"100320207290270211",23,"0",21,3,1,9,5,2,0,1
"100320825400001106",220,"6",198,12,10,59,66,9,17,25
"100320127942532910",220,"3",198,9,10,52,80,13,17,17
"100320723170801513",220,"10",198,8,8,65,72,18,12,15
"100320420590009601",220,"3",198,6,4,64,66,28,12,18
"100320204400263001",220,"3",198,10,12,63,67,17,16,13
"100320309680905113",220,"1",198,9,8,64,74,13,18,12
"100320532070057501",220,"11",198,9,10,77,65,12,11,14
"100320420603102614",220,"9",198,13,8,53,73,12,21,18
"100320723060800304",170,"3",153,12,10,58,44,8,11,10
"100320831110000101",10,"1",9,0,0,4,4,0,0,1
"100320515280008505",157,"3",141,6,8,46,53,3,10,15
"100320308210022729",220,"4",198,11,8,65,75,13,15,11
"100320724840001605",220,"3",198,8,13,64,70,11,10,22
"100320722700500702",220,"5",198,8,10,64,68,12,16,20
"100320722340401518",220,"6",198,13,8,69,68,12,11,17
"100320308210020517",220,"2",198,10,14,67,73,8,16,10
"100320308210014011",220,"10",198,6,13,52,74,15,24,14
"100320722340000605",220,"4",198,9,8,67,71,16,14,13
"100320127940023101",220,"7",198,11,12,72,61,12,18,12
"100320208200220501",220,"1",198,10,9,69,68,9,15,18
"100320308210017216",220,"2",198,10,10,56,71,16,21,14
"100320308210011609",220,"6",198,7,6,71,64,21,13,16
"100320619160001411",220,"11",198,13,11,65,70,16,14,9
"100320331160303004",220,"2",198,13,11,65,70,10,13,16
"100320338580000101",167,"0",150,4,8,42,55,16,13,12
"100320722341002411",220,"8",198,12,11,69,80,4,7,15
"110341836192520501",220,"22",198,14,9,71,64,12,16,12
"100320308210010413",220,"4",198,9,11,69,72,13,13,11
"100320205940285701",77,"1",69,1,0,28,28,10,1,1
"100320201370299605",220,"2",198,6,12,68,67,12,21,12
"100320207052558801",132,"2",119,9,7,44,34,4,15,6
"100320206310257601",180,"3",162,5,7,53,64,18,10,5
"110111041302506019",204,"62",184,10,7,63,68,15,10,11
"100320207290080705",220,"3",198,12,10,71,72,10,11,12
"100320308210019310",220,"3",198,13,12,65,71,10,13,14
"100320722340501919",220,"1",198,10,13,61,68,15,16,15
"100320207290270104",220,"5",198,9,7,82,57,20,8,15
"100320339630000101",154,"0",139,6,3,44,50,5,16,15
"100320207290060109",220,"3",198,10,12,61,74,15,13,13
"100320208202560306",220,"0",198,11,10,64,63,18,17,15
"100320308210010712",220,"3",198,5,9,64,80,14,10,16
"100320329380102302",42,"1",38,1,2,16,14,2,1,2
"100320308212531302",220,"1",198,12,9,67,67,8,23,12
"100320722341001215",220,"6",198,9,13,64,72,11,10,19
"100320310050103819",220,"3",198,16,9,73,67,11,10,12
"100320723610400401",149,"3",134,11,6,42,40,7,13,15
"100320208200190605",220,"2",198,6,8,59,79,15,14,17
"100320207290090502",220,"1",198,10,8,83,63,14,9,11
"100320207290020437",220,"1",198,6,11,62,76,11,8,24
"100320722340400404",220,"4",198,12,9,68,62,15,12,20
"100320207290010401",220,"2",198,10,13,57,76,12,17,13
"100320202430237003",130,"4",117,4,5,35,36,7,16,14
"100320722340900807",220,"6",198,12,14,60,57,22,13,20
"100320722652500004",220,"5",198,4,10,74,71,13,14,12
"100320308210014514",220,"0",198,6,9,57,82,15,20,9
"100320936970000101",125,"0",112,9,6,39,38,5,10,5
"110111041302517720",220,"9",198,10,13,57,74,17,17,10
"100320830720000101",92,"4",83,4,4,29,22,11,3,10
"100320619800000503",200,"3",180,10,7,77,58,13,7,8
"100320308630300902",97,"8",87,5,6,27,38,2,1,8
"100320826160000103",220,"7",198,6,7,73,77,16,7,12
"100320308230200402",175,"2",158,8,8,57,55,8,16,6
"100320722341105105",220,"2",198,7,7,63,71,7,26,17
"100320207290080210",220,"1",198,8,7,65,78,16,15,9
"100320516690024302",220,"6",198,13,11,59,74,20,12,9
"100320127940020401",220,"11",198,6,11,75,64,9,18,15
"100320722342543904",220,"1",198,15,12,77,62,6,11,15
"100320207290130305",220,"4",198,13,5,66,73,9,17,15
"100320722340800308",220,"1",198,9,8,65,73,13,10,20
"100320204350270601",112,"0",101,3,7,30,34,7,12,8
"100320308210011408",220,"6",198,9,11,73,63,12,13,17
"100320309390902004",220,"1",198,10,10,65,64,19,20,10
"100320723041800003",220,"4",198,6,9,64,71,14,16,18
"100320514942503709",220,"4",198,6,7,67,65,20,15,18
"100320308210023904",220,"1",198,5,6,66,71,14,18,18
"100320206770275302",220,"2",198,6,12,69,67,14,20,10
"110671736182507605",220,"12",198,8,9,58,70,17,19,17
"100320722341001110",220,"5",198,8,10,62,68,22,17,11
"100320725210700405",220,"5",198,8,13,72,58,15,13,19
"100320722342585807",220,"0",198,8,9,61,78,15,9,18
"100320626802571213",220,"7",198,4,11,75,68,12,13,15
"100320112000000204",220,"6",198,9,5,60,71,19,11,23
"100320722340301114",220,"5",198,15,13,75,65,9,7,14
"100320127943001106",220,"6",198,15,12,57,73,11,13,17
"100320208200180404",220,"5",198,8,9,69,71,15,12,14
"100320203260294001",220,"0",198,8,8,56,75,16,19,16
"100320208200260127",220,"4",198,12,4,70,68,13,14,17
"100320311042531202",220,"0",198,8,16,70,57,15,12,20
"100320208200260310",220,"1",198,15,13,51,73,21,13,12
"100320208200190316",220,"3",198,4,4,75,67,12,14,22
"100320127940040808",220,"0",198,8,10,72,68,11,8,21
"100320308210021007",220,"0",198,7,7,75,68,13,15,13
"100320724371500813",220,"3",198,10,8,63,78,12,9,18
"100320724422101201",220,"8",198,8,8,78,59,12,19,14
"100320309130700609",220,"3",198,6,8,61,76,18,16,13
"100320724512102330",220,"4",198,13,13,62,75,12,7,16
"100320722341107707",220,"0",198,13,10,71,62,9,15,18
"100320309390901803",220,"8",198,12,11,72,62,8,17,16
"100320723480201011",220,"4",198,5,7,69,72,13,16,16
"100320722863205205",220,"7",198,12,8,63,73,12,17,13
"100320309550903404",220,"4",198,10,11,67,70,12,14,14
"100320127940011011",220,"4",198,7,6,71,77,19,11,7
"100320208200040514",220,"0",198,12,13,60,69,20,13,11
"110671536162507113",220,"44",198,8,8,64,71,15,19,13
"100320724422105401",220,"1",198,7,9,70,63,18,15,16
"100320310630130303",220,"4",198,13,9,60,66,13,16,21
"110621436152506901",220,"70",198,8,14,68,73,14,10,11
"100320724252302601",220,"16",198,8,13,59,71,21,13,13
"100320626800007311",220,"8",198,11,9,66,74,13,16,9
"100320309310800912",101,"12",91,5,4,32,26,17,4,3
"100320421170000205",214,"3",193,3,10,69,64,19,13,15
"100320207290200312",220,"4",198,8,8,60,68,21,15,18
"100320722341104714",220,"7",198,18,11,58,59,29,11,12
"100320825260000103",220,"7",198,10,10,73,66,19,7,13
"100320342632594903",50,"0",45,3,4,12,15,4,3,4
"100320529240049702",139,"1",125,6,8,42,41,5,8,15
"100320722341106909",225,"1",202,7,11,61,73,13,18,19
"100320725240700704",220,"6",198,9,13,69,68,14,12,13
"100320127940041003",220,"3",198,9,9,74,70,8,16,12
"100320207290030311",220,"4",198,12,10,63,68,15,17,13
"100320310240120106",220,"3",198,13,9,60,66,18,21,11
"100320722341104716",220,"8",198,8,18,75,52,14,12,19
"111245738012512609",220,"16",198,16,18,66,61,13,11,13
"110111036112516906",220,"38",198,12,5,66,70,14,15,16
"100320722340601608",220,"8",198,15,6,69,72,14,11,11
"100320421080000211",178,"14",160,10,8,60,56,11,7,8
"100320518450045101",177,"29",159,13,6,41,56,15,15,13
"100320724422105021",220,"7",198,9,13,66,65,14,15,16
"100320208200260128",220,"2",198,8,7,71,67,12,16,17
"100320208200240509",220,"0",198,12,14,71,58,19,12,12
"100320207290050623",220,"2",198,14,9,73,58,12,15,17
"100320308210016216",220,"2",198,8,16,57,72,13,18,14
"100320827840000602",220,"17",198,10,8,71,63,18,9,19
"100320309810101603",220,"2",198,9,11,70,65,21,11,11
"100320207290120228",220,"3",198,7,8,76,63,15,17,12
"100320722340201501",220,"3",198,10,5,75,67,18,12,11
"100320533280000102",22,"0",20,1,1,8,4,2,0,4
"100320308210014401",220,"6",198,12,8,61,71,8,21,17
"100320724901200502",220,"17",198,5,10,69,69,19,12,14
"100320514940002902",220,"4",198,12,6,65,62,16,19,18
"100320127942503101",220,"0",198,13,7,77,62,12,10,17
"100320311040160623",220,"4",198,6,14,68,63,11,22,14
"100320308210010902",220,"0",198,13,7,51,80,14,19,14
"100320208203004301",220,"5",198,9,8,75,52,12,16,26
"100320208200260112",220,"2",198,8,9,68,65,13,18,17
"100320234650000101",220,"6",198,4,7,71,77,16,13,10
"100320207292503610",220,"2",198,16,11,63,56,11,18,23
"100320539490000101",220,"3",198,19,9,69,58,19,10,14
"100320330200123910",140,"1",126,4,7,44,42,9,11,9
"100320208200210230",111,"0",100,6,4,31,32,14,7,6
"100320207292577505",220,"6",198,9,10,70,58,16,16,19
"100320927730000806",137,"5",123,5,8,46,44,6,7,7
"100320626800009003",220,"5",198,16,7,65,64,21,14,11
"100320208200040203",220,"1",198,13,9,61,64,15,14,22
"100320825810000113",94,"7",85,4,4,33,23,6,6,9
"100320308210021603",220,"0",198,8,11,68,61,21,18,11
"100320619770000216",115,"3",104,7,4,32,32,7,14,8
"100320514940048415",220,"2",198,6,8,71,71,8,17,17
"100320723171801418",220,"7",198,8,6,84,58,13,15,14
"100320420593101408",220,"4",198,16,14,54,61,14,18,21
"110111041352518503",220,"29",198,6,9,71,62,20,15,15
"110671536162507109",220,"60",198,10,11,73,60,8,18,18
"100320514940058903",220,"5",198,10,7,68,68,18,15,12
"100320722341001804",220,"3",198,10,6,60,76,15,13,18
"100320308210010807",220,"5",198,10,10,79,69,10,10,10
"100320308650400301",220,"6",198,17,10,72,55,17,13,14
"100320308210013328",220,"4",198,10,13,75,64,11,15,10
"100320308210016526",220,"11",198,10,5,63,77,14,14,15
"100320825262502708",220,"5",198,9,8,77,62,17,17,8
"100320722663204904",220,"4",198,10,4,71,69,16,15,13
"100320206140068405",138,"5",124,8,3,40,45,8,8,12
"110671636172507506",220,"34",198,10,12,73,71,12,13,7
"100320114890000104",166,"0",149,4,3,51,60,16,8,7
"100320330200123909",220,"0",198,9,10,64,74,17,13,11
"100320114650000101",232,"7",209,4,8,74,74,9,23,17
"100320208200200220",220,"0",198,12,13,62,74,14,9,14
"100320518413113603",220,"10",198,6,9,62,78,13,15,15
"100320207292503616",220,"3",198,17,8,72,65,13,8,15
